CodSite,lat,long,abundance,habitat,spp
area8,-20.673889,-40.393889,51,Submontane Dense Ombrophilous Atlantic Forest ,Chrysophyllum lucentifolium
area1,-20.798333,-41.292778,97,Submontane Seasonal Atlantic Forest,Chrysophyllum lucentifolium
area1,-20.798333,-41.292778,4,Submontane Seasonal Atlantic Forest,Chrysophyllum splendens
area12,-27.816111,-50.324167,13,Mixed Ombrophilous Atlantic Forest,Cinnamodendron dinisii
area4,-28.733333,-49.75,2,Montane Dense Ombrophilous Atlantic Forest ,Cinnamomum glaziovii
area7,-7.633333,-35.5,3,Montane Dense Ombrophilous Atlantic Forest ,Cinnamomum triplinerve
area4,-28.733333,-49.75,8,Montane Dense Ombrophilous Atlantic Forest ,Citharexylum myrianthum
area2,-22.528333,-50.715556,7,Montane Dense Ombrophilous Atlantic Forest ,Citronella paniculata
area4,-28.733333,-49.75,18,Montane Dense Ombrophilous Atlantic Forest ,Citronella paniculata
area7,-7.633333,-35.5,1,Montane Dense Ombrophilous Atlantic Forest ,Citronella paniculata
area11,-21.976389,-43.878889,4,Montane Cloud Atlantic Forest,Citronella paniculata
area1,-20.798333,-41.292778,14,Submontane Seasonal Atlantic Forest,Clarisia racemosa
area7,-7.633333,-35.5,13,Montane Dense Ombrophilous Atlantic Forest ,Clarisia racemosa
area4,-28.733333,-49.75,2,Montane Dense Ombrophilous Atlantic Forest ,Clethra scabra
area11,-21.976389,-43.878889,2,Montane Cloud Atlantic Forest,Clethra scabra
area12,-27.816111,-50.324167,4,Mixed Ombrophilous Atlantic Forest,Clethra scabra
area8,-20.673889,-40.393889,1,Submontane Dense Ombrophilous Atlantic Forest ,Clusia hilariana
area7,-7.633333,-35.5,1,Montane Dense Ombrophilous Atlantic Forest ,Clusia pernambucensis
area8,-20.673889,-40.393889,1,Submontane Dense Ombrophilous Atlantic Forest ,Clusia spiritu-sanctensis
area9,-8.032611,-35.192125,2,Lowlands Seasonal Atlantic Forest ,Cnidoscolus oligandrus
area1,-20.798333,-41.292778,10,Submontane Seasonal Atlantic Forest,Cnidoscolus oligandrus
area8,-20.673889,-40.393889,10,Submontane Dense Ombrophilous Atlantic Forest ,Coccoloba alnifolia
area9,-8.032611,-35.192125,18,Lowlands Seasonal Atlantic Forest ,Coccoloba mollis
area7,-7.633333,-35.5,1,Montane Dense Ombrophilous Atlantic Forest ,Coccoloba parimensis
area9,-8.032611,-35.192125,1,Lowlands Seasonal Atlantic Forest ,Colubrina glandulosa
area2,-22.528333,-50.715556,2,Montane Dense Ombrophilous Atlantic Forest ,Connarus detersus
area6,-19.616667,-43.4,13,Montane Seasonal Atlantic Forest ,Copaifera langsdorffii
area7,-7.633333,-35.5,9,Montane Dense Ombrophilous Atlantic Forest ,Copaifera langsdorffii
area10,-21.999167,-43.890833,14,Montane Dense Ombrophilous Atlantic Forest ,Copaifera langsdorffii
area1,-20.798333,-41.292778,21,Submontane Seasonal Atlantic Forest,Copaifera lucens
area6,-19.616667,-43.4,1,Montane Seasonal Atlantic Forest ,Copaifera trapezifolia
area10,-21.999167,-43.890833,10,Montane Dense Ombrophilous Atlantic Forest ,Copaifera trapezifolia
area7,-7.633333,-35.5,2,Montane Dense Ombrophilous Atlantic Forest ,Cordia nodosa
area6,-19.616667,-43.4,2,Montane Seasonal Atlantic Forest ,Cordia sellowiana
area4,-28.733333,-49.75,12,Montane Dense Ombrophilous Atlantic Forest ,Cordia silvestris
area11,-21.976389,-43.878889,6,Montane Cloud Atlantic Forest,Cordia silvestris
area11,-21.976389,-43.878889,7,Montane Cloud Atlantic Forest,Cordia trichoclada
area10,-21.999167,-43.890833,2,Montane Dense Ombrophilous Atlantic Forest ,Cordia trichotoma
area1,-20.798333,-41.292778,13,Submontane Seasonal Atlantic Forest,Couratari asterotricha
area3,-22.7222082,-42.628058,6,Submontane Dense Ombrophilous Atlantic Forest ,Couratari pyramidata
area8,-20.673889,-40.393889,5,Submontane Dense Ombrophilous Atlantic Forest ,Coussapoa microcarpa
area6,-19.616667,-43.4,1,Montane Seasonal Atlantic Forest ,Coussarea congestiflora
area3,-22.7222082,-42.628058,7,Submontane Dense Ombrophilous Atlantic Forest ,Coussarea nodosa
area10,-21.999167,-43.890833,13,Montane Dense Ombrophilous Atlantic Forest ,Coussarea verticillata
area11,-21.976389,-43.878889,8,Montane Cloud Atlantic Forest,Coussarea verticillata
area8,-20.673889,-40.393889,6,Submontane Dense Ombrophilous Atlantic Forest ,Crataeva tapia
area3,-22.7222082,-42.628058,4,Submontane Dense Ombrophilous Atlantic Forest ,Croton floribundus
area5,-22.616667,-43.883333,1,Montane Seasonal Atlantic Forest ,Croton floribundus
area7,-7.633333,-35.5,12,Montane Dense Ombrophilous Atlantic Forest ,Croton floribundus
area10,-21.999167,-43.890833,20,Montane Dense Ombrophilous Atlantic Forest ,Cryptocarya micrantha
area11,-21.976389,-43.878889,3,Montane Cloud Atlantic Forest,Cryptocarya micrantha
area2,-22.528333,-50.715556,1,Montane Dense Ombrophilous Atlantic Forest ,Cryptocarya moschata
area8,-20.673889,-40.393889,1,Submontane Dense Ombrophilous Atlantic Forest ,Cupania emarginata
area5,-22.616667,-43.883333,1,Montane Seasonal Atlantic Forest ,Cupania fluminensis
area6,-19.616667,-43.4,3,Montane Seasonal Atlantic Forest ,Cupania ludowigii
area10,-21.999167,-43.890833,3,Montane Dense Ombrophilous Atlantic Forest ,Cupania ludowigii
area3,-22.7222082,-42.628058,25,Submontane Dense Ombrophilous Atlantic Forest ,Cupania oblongifolia
area5,-22.616667,-43.883333,11,Montane Seasonal Atlantic Forest ,Cupania oblongifolia
area7,-7.633333,-35.5,41,Montane Dense Ombrophilous Atlantic Forest ,Cupania oblongifolia
area9,-8.032611,-35.192125,6,Lowlands Seasonal Atlantic Forest ,Cupania oblongifolia
area3,-22.7222082,-42.628058,10,Submontane Dense Ombrophilous Atlantic Forest ,Cupania racemosa
area9,-8.032611,-35.192125,2,Lowlands Seasonal Atlantic Forest ,Cupania racemosa
area13,-8.016667,-35.174167,21,Lowlands Dense Ombrophilous Atlantic Forest ,Cupania racemosa
area9,-8.032611,-35.192125,44,Lowlands Seasonal Atlantic Forest ,Cupania revoluta
area4,-28.733333,-49.75,22,Montane Dense Ombrophilous Atlantic Forest ,Cupania vernalis
area11,-21.976389,-43.878889,6,Montane Cloud Atlantic Forest,Cupania vernalis
area12,-27.816111,-50.324167,14,Mixed Ombrophilous Atlantic Forest,Cupania vernalis
area6,-19.616667,-43.4,1,Montane Seasonal Atlantic Forest ,Cyathea corcovadensis
area4,-28.733333,-49.75,6,Montane Dense Ombrophilous Atlantic Forest ,Cyathea delgadii
area11,-21.976389,-43.878889,7,Montane Cloud Atlantic Forest,Cyathea delgadii
area10,-21.999167,-43.890833,6,Montane Dense Ombrophilous Atlantic Forest ,Cybianthus peruvianus
area3,-22.7222082,-42.628058,9,Submontane Dense Ombrophilous Atlantic Forest ,Cybistax antisyphilitica
area6,-19.616667,-43.4,1,Montane Seasonal Atlantic Forest ,Dalbergia brasiliensis
area6,-19.616667,-43.4,1,Montane Seasonal Atlantic Forest ,Dalbergia foliolosa
area5,-22.616667,-43.883333,1,Montane Seasonal Atlantic Forest ,Dalbergia frutescens
area12,-27.816111,-50.324167,9,Mixed Ombrophilous Atlantic Forest,Dalbergia frutescens
area3,-22.7222082,-42.628058,1,Submontane Dense Ombrophilous Atlantic Forest ,Dalbergia nigra
area6,-19.616667,-43.4,13,Montane Seasonal Atlantic Forest ,Dalbergia nigra
area1,-20.798333,-41.292778,7,Submontane Seasonal Atlantic Forest,Dalbergia nigra
area10,-21.999167,-43.890833,2,Montane Dense Ombrophilous Atlantic Forest ,Dalbergia nigra
area10,-21.999167,-43.890833,3,Montane Dense Ombrophilous Atlantic Forest ,Daphnopsis coriacea
area8,-20.673889,-40.393889,38,Submontane Dense Ombrophilous Atlantic Forest ,Daphnopsis coriacea
area12,-27.816111,-50.324167,1,Mixed Ombrophilous Atlantic Forest,Daphnopsis racemosa
area12,-27.816111,-50.324167,11,Mixed Ombrophilous Atlantic Forest,Dasyphyllum brasiliense
area12,-27.816111,-50.324167,24,Mixed Ombrophilous Atlantic Forest,Dasyphyllum spinescens
area7,-7.633333,-35.5,10,Montane Dense Ombrophilous Atlantic Forest ,Dendropanax arboreum
area7,-7.633333,-35.5,27,Montane Dense Ombrophilous Atlantic Forest ,Dialium guianense
area9,-8.032611,-35.192125,57,Lowlands Seasonal Atlantic Forest ,Dialium guianense
